id,slug,name,original_index,on_hit_effect,slot_1,slot_2,slot_3,slot_4,range_capability,verified_source
0,kobold,Kobold,0x00,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
1,hobbit,Hobbit,0x01,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
2,gnome,Gnome,0x02,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
3,dwarf,Dwarf,0x03,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
4,thief,Thief,0x04,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
5,hobgoblin,Hobgoblin,0x05,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
6,conjurer_06,Conjurer,0x06,none,Attack,Arc Fire (1xd4),Arc Fire (1xd4),Freeze Foes,ranged_spell,bt1-c64-1985
7,magician_07,Magician,0x07,none,Attack,Wither Strike,Invisibility,Attack,ranged_spell,bt1-c64-1985
8,orc,Orc,0x08,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
9,skeleton,Skeleton,0x09,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
10,nomad,Nomad,0x0A,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
11,spider,Spider,0x0B,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
12,mad_dog,Mad Dog,0x0C,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
13,barbarian,Barbarian,0x0D,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
14,mercenary,Mercenary,0x0E,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
15,wolf,Wolf,0x0F,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
16,jade_monk,Jade Monk,0x10,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
17,half_orc,Half Orc,0x11,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
18,swordsman,Swordsman,0x12,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
19,zombie,Zombie,0x13,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
20,conjurer_20,Conjurer,0x14,none,Attack,Arc Fire (3xd4),Freeze Foes,Battleskill,ranged_spell,bt1-c64-1985
21,magician_21,Magician,0x15,none,Attack,Wither Strike,Invisibility,Ogrestrength,ranged_spell,bt1-c64-1985
22,sorcerer_22,Sorcerer,0x16,none,Attack,Warstrike (4d4),Warstrike (4d4),Phase Blur,ranged_spell,bt1-c64-1985
23,wizard_23,Wizard,0x17,none,Attack,Arc Fire (3xd4),Wither Strike,Summon Dead,ranged_spell,bt1-c64-1985
24,samurai,Samurai,0x18,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
25,black_widow,Black Widow,0x19,poison,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
26,assassin,Assassin,0x1A,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
27,werewolf,Werewolf,0x1B,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
28,ogre,Ogre,0x1C,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
29,wight,Wight,0x1D,wither,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
30,statue,Statue,0x1E,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
31,bladesman,Bladesman,0x1F,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
32,goblin_lord,Goblin Lord,0x20,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
33,master_thief,Master Thief,0x21,none,Attack,Attack,Attack,Attack,melee_only,bt1-c64-1985
