internal_id,slug,name,original_index_hex,hp_range,ac_range,damage,special_attacks,stored_byte_hex,decoding_rule,xp_value,gold_est,source_provenance,confidence
0,kobold,Kobold,0x00,4-7,1-8,1d4,,0x3C,literal,60,24,bt1-c64-1985-table,verified
1,hobbit,Hobbit,0x01,6-9,1-8,1d4,,0x46,literal,70,28,bt1-c64-1985-table,verified
2,gnome,Gnome,0x02,2-9,1-8,2d4,,0x50,literal,80,32,bt1-c64-1985-table,verified
3,dwarf,Dwarf,0x03,6-13,1-8,2d4,,0x50,literal,80,32,bt1-c64-1985-table,verified
4,thief,Thief,0x04,2-9,1-4,2d4,,0x5A,literal,90,36,bt1-c64-1985-table,verified
5,hobgoblin,Hobgoblin,0x05,4-11,1-8,2d4,,0x5A,literal,90,36,bt1-c64-1985-table,verified
6,conjurer_06,Conjurer,0x06,2-9,1-4,1d4,castSpell,0x64,literal,100,40,bt1-c64-1985-table,verified
7,magician_07,Magician,0x07,2-9,1-4,1d4,castSpell,0x64,literal,100,40,bt1-c64-1985-table,verified
8,orc,Orc,0x08,6-13,1-8,3d4,,0x64,literal,100,40,bt1-c64-1985-table,verified
9,skeleton,Skeleton,0x09,8-15,1-4,3d4,,0x6E,literal,110,44,bt1-c64-1985-table,verified
10,nomad,Nomad,0x0A,8-15,1-4,3d4,,0x78,literal,120,48,bt1-c64-1985-table,verified
11,spider,Spider,0x0B,4-11,1-4,3d4,,0x96,literal,150,60,bt1-c64-1985-table,verified
12,mad_dog,Mad Dog,0x0C,4-11,1-8,2d4,,0xB4,literal,180,72,bt1-c64-1985-table,verified
13,barbarian,Barbarian,0x0D,10-17,1-8,4d4,,0xC8,literal,200,80,bt1-c64-1985-table,verified
14,mercenary,Mercenary,0x0E,8-15,1-4,3d4,,0xDC,literal,220,88,bt1-c64-1985-table,verified
15,wolf,Wolf,0x0F,10-17,1-8,4d4,,0x01,val*256,256,102,bt1-c64-1985-table,verified
16,jade_monk,Jade Monk,0x10,2-9,1-4,5d4,,0x01,val*256,256,102,bt1-c64-1985-table,verified
17,half_orc,Half Orc,0x11,12-19,1-8,4d4,,0x01,val*256,256,102,bt1-c64-1985-table,verified
18,swordsman,Swordsman,0x12,12-19,1-4,4d4,,0x02,val*256,512,204,bt1-c64-1985-table,verified
19,zombie,Zombie,0x13,12-19,1-4,5d4,,0x02,val*256,512,204,bt1-c64-1985-table,verified
20,conjurer_20,Conjurer,0x14,2-9,1-4,3d4,castSpell,0x02,val*256,512,204,bt1-c64-1985-table,verified
21,magician_21,Magician,0x15,2-9,1-4,3d4,castSpell,0x02,val*256,512,204,bt1-c64-1985-table,verified
22,sorcerer_22,Sorcerer,0x16,2-9,1-4,3d4,castSpell,0x03,val*256,768,307,bt1-c64-1985-table,verified
23,wizard_23,Wizard,0x17,2-9,1-4,3d4,castSpell,0x03,val*256,768,307,bt1-c64-1985-table,verified
24,samurai,Samurai,0x18,4-19,1-8,5d4,,0x04,val*256,1024,409,bt1-c64-1985-table,verified
25,black_widow,Black Widow,0x19,2-17,1-8,5d4,poison,0x04,val*256,1024,409,bt1-c64-1985-table,verified
26,assassin,Assassin,0x1A,2-17,1-8,4d4,,0x04,val*256,1024,409,bt1-c64-1985-table,verified
27,werewolf,Werewolf,0x1B,4-19,1-4,5d4,,0x04,val*256,1024,409,bt1-c64-1985-table,verified
28,ogre,Ogre,0x1C,8-23,1-4,6d4,,0x04,val*256,1024,409,bt1-c64-1985-table,verified
29,wight,Wight,0x1D,6-21,1-4,5d4,wither,0x04,val*256,1024,409,bt1-c64-1985-table,verified
30,statue,Statue,0x1E,8-23,1-4,5d4,,0x04,val*256,1024,409,bt1-c64-1985-table,verified
31,bladesman,Bladesman,0x1F,12-27,1-8,6d4,,0x05,val*256,1280,512,bt1-c64-1985-table,verified
